#SKILL
Name         reserved~
Type         Spell
Info         0
Flags        0
Minpos       112
Slot         95
Dammsg       ~
Wearoff      ???~
Minlevel     101
End

#SKILL
Name         nothing~
Type         unknown
Info         0
Flags        0
Minpos       195
Slot         95
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     101
End

#SKILL
Name         unknown~
Type         unknown
Info         0
Flags        0
Minpos       195
Slot         95
Guild        0
Code         spell_smaug
Dammsg       ~
Minlevel     101
End

#SKILL
Name         acetum primus~
Type         Spell
Info         909
Flags        0
Target       1
Minpos       109
Slot         302
Mana         15
Rounds       4
Code         spell_acetum_primus
Dammsg       Acetum Primus~
Wearoff      !WEAROFF!~
Minlevel     100
End

#SKILL
Name         acid blast~
Type         Spell
Info         5
Flags        0
Target       1
Minpos       109
Slot         70
Mana         20
Rounds       4
Code         spell_acid_blast
Dammsg       &w&zacid blast&w~
Wearoff      !Acid Blast!~
Minlevel     20
End

#SKILL
Name         alertness~
Type         Spell
Info         0
Flags        0
Target       3
Minpos       112
Slot         102
Mana         60
Rounds       4
Code         spell_smaug
Dammsg       ~
Wearoff      You are suddenly less alert.~
Hitvict      You suddenly feel alert.~
Hitroom      $N's eyes dart about the room in an alert manner.~
Affect       'l*15' 27 '1024' -1
Minlevel     20
End

#SKILL
Name         animate dead~
Type         Spell
Info         0
Flags        65536
Minpos       112
Slot         231
Mana         220
Rounds       4
Code         spell_animate_dead
Dammsg       ~
Wearoff      !Animate Dead!~
Minlevel     50
End

#SKILL
Name         antimagic shell~
Type         Spell
Info         0
Flags        0
Target       3
Minpos       112
Slot         224
Mana         40
Rounds       4
Code         spell_smaug
Dammsg       ~
Wearoff      The shimmering shell and its protection from magic fade away...~
Hitvict      A shimmering translucent shell forms about you.~
Hitroom      A shimmering translucent shell forms about $N.~
Affect       'i*w' 28 '1048576' -1
Minlevel     17
End

#SKILL
Name         apport arcane~
Type         Spell
Info         0
Flags        0
Minpos       109
Mana         75
Rounds       18
Code         spell_teleport_superior
Dammsg       ~
Minlevel     101
End

#SKILL
Name         aqua breath~
Type         Spell
Info         0
Flags        1024
Target       2
Minpos       112
Slot         236
Mana         95
Rounds       4
Code         spell_smaug
Dammsg       ~
Wearoff      Your lungs revert to their original state.~
