#SOCIAL
Name        ?~
CharNoArg   You say 'Huh?'~
OthersNoArg $n says 'Huh?'~
CharFound   You say 'Huh?' to $M.~
OthersFound $n says 'Huh?' to $N.~
VictFound   $n says 'Huh?' to you.~
CharAuto    You think to yourself 'Huh?'~
OthersAuto  $n takes a moment to question your existance.~
End

#SOCIAL
Name        abuse~
CharNoArg   You want to abuse someone.~
OthersNoArg $n is in an abusive mood.~
CharFound   you abuse $N~
OthersFound $n abuses $N~
VictFound   $n is abusing you, HEY THATS HARASSMENT!~
CharAuto    You begin to physicly abuse yourself~
OthersAuto  $n is physicly abusing $Mself. (thats not normal)~
End

#SOCIAL
Name        accuse~
CharNoArg   Accuse whom?~
OthersNoArg $n is in an accusing mood.~
CharFound   You look accusingly at $M.~
OthersFound $n looks accusingly at $N.~
VictFound   $n looks accusingly at you.~
CharAuto    You accuse yourself.~
OthersAuto  $n seems to have a bad conscience.~
End

#SOCIAL
Name        ack~
CharNoArg   You gasp and say 'ACK!' at your mistake.~
OthersNoArg $n goes ick!~
CharFound   You ACK $M.~
OthersFound $n ACKS $N.~
VictFound   $n ACKS you.~
CharAuto    You ACK yourself.~
OthersAuto  $n ACKS $mself.  Must be a bad day.~
End

#SOCIAL
Name        addict~
CharNoArg   You stand and admit to all in the room 'Hi, I'm $n, and I'm a mud addict.'~
OthersNoArg $n stands and says 'Hi, I'm $n, and I'm a mud addict.'~
CharFound   You tell $M that you are addicted to $S love.~
OthersFound $n tells $N that $e is addicted to $S love.~
VictFound   $n tells you that $e is addicted to your love.~
CharAuto    You stand and admit to all in the room 'Hi, I'm $n, and I'm a mud addict.'~
OthersAuto  $n stands and says 'Hi, I'm $n, and I'm a mud addict.'~
End

#SOCIAL
Name        admire~
CharNoArg   Huh?  You have to admire someone:  admire <person>.~
CharFound   You watch and admire $m.~
OthersFound $n watches and admires $N.~
VictFound   $n watches and admires you.~
CharAuto    You admire yourself in the mirror.~
OthersAuto  $n admires $mself in the mirror.~
End

#SOCIAL
Name        adore~
CharNoArg   You are looking for someone to adore!~
OthersNoArg $n is looking for someone to adore!~
CharFound   You look at $N with adoring eyes.~
